epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7994,1.60581,3.48993,1.22598,0.03851,0.81786,0.21242,0.11729,1.30853,3.22837,0.91215,0.00020004,0.00020004,0.00020004
2,62.7672,1.11164,2.25718,0.98295,0.31151,0.31968,0.31179,0.1457,1.36433,2.4648,0.93164,0.000408498,0.000408498,0.000408498
3,93.2652,1.00193,1.63167,0.95691,0.49065,0.69483,0.45712,0.3191,1.04511,1.81428,0.89495,0.000608375,0.000608375,0.000608375
4,123.544,0.96272,1.53042,0.95459,0.45753,0.77166,0.46895,0.32764,1.00956,1.5619,0.89403,0.00079967,0.00079967,0.00079967
5,153.9,0.87215,1.41884,0.95577,0.49201,0.83929,0.49913,0.40868,0.78962,1.41059,0.86775,0.000982383,0.000982383,0.000982383
6,184.051,0.83738,1.36342,0.94383,0.49045,0.82939,0.50192,0.41059,0.69012,1.43006,0.87679,0.00115651,0.00115651,0.00115651
7,217.15,0.83429,1.33351,0.92365,0.49685,0.88929,0.51286,0.42317,0.69943,1.38827,0.85519,0.00132206,0.00132206,0.00132206
8,251.473,0.78684,1.31703,0.91969,0.49819,0.9,0.51551,0.39492,0.86978,1.34969,0.87416,0.00143595,0.00143595,0.00143595
9,285.492,0.81509,1.32918,0.92412,0.4935,0.95357,0.52988,0.41444,0.76856,1.32255,0.86383,0.00140295,0.00140295,0.00140295
10,320.038,0.8011,1.29559,0.9175,0.49506,0.9467,0.52038,0.40497,0.77518,1.28488,0.86418,0.00136994,0.00136994,0.00136994
11,354.684,0.77609,1.27717,0.91889,0.4988,0.95,0.52398,0.42554,0.69719,1.23743,0.87721,0.00133693,0.00133693,0.00133693
12,389.312,0.7786,1.22954,0.91121,0.48608,0.95,0.51462,0.41358,0.68764,1.21965,0.85506,0.00130393,0.00130393,0.00130393
13,423.86,0.73478,1.23669,0.90212,0.49976,1,0.52204,0.41523,0.72119,1.18053,0.86887,0.00127092,0.00127092,0.00127092
14,457.735,0.69443,1.22566,0.90853,0.4947,1,0.52153,0.44354,0.57576,1.14639,0.85216,0.00123791,0.00123791,0.00123791
15,492.174,0.68782,1.20585,0.89474,0.49852,0.98929,0.52255,0.44893,0.50843,1.14122,0.85651,0.00120491,0.00120491,0.00120491
16,526.628,0.6611,1.19947,0.89023,0.49966,0.99643,0.52137,0.42866,0.56886,1.15437,0.86366,0.0011719,0.0011719,0.0011719
17,561.142,0.68504,1.18564,0.88854,0.48683,0.99461,0.52908,0.46251,0.54176,1.16616,0.86149,0.00113889,0.00113889,0.00113889
18,595.591,0.66084,1.17222,0.88628,0.49487,0.99746,0.52579,0.40901,0.68966,1.20149,0.86884,0.00110589,0.00110589,0.00110589
19,629.8,0.67049,1.18751,0.88904,0.49926,0.99643,0.52603,0.41178,0.70663,1.11915,0.86868,0.00107288,0.00107288,0.00107288
20,664.868,0.6847,1.18648,0.88753,0.49931,1,0.52443,0.4569,0.52579,1.12494,0.84809,0.00103987,0.00103987,0.00103987
21,699.234,0.66173,1.16744,0.88268,0.49926,1,0.52336,0.45089,0.5629,1.16194,0.84477,0.00100687,0.00100687,0.00100687
22,733.865,0.65743,1.15949,0.87406,0.49927,1,0.5239,0.44233,0.51505,1.13458,0.84638,0.000973861,0.000973861,0.000973861
23,768.465,0.64902,1.15079,0.87782,0.49923,1,0.52627,0.45577,0.47573,1.10717,0.83541,0.000940855,0.000940855,0.000940855
24,802.895,0.6156,1.14056,0.87149,0.49922,1,0.52527,0.44903,0.52181,1.09575,0.8364,0.000907848,0.000907848,0.000907848
25,837.401,0.62679,1.14287,0.86878,0.50005,1,0.53633,0.46269,0.49344,1.07453,0.84335,0.000874842,0.000874842,0.000874842
26,871.789,0.59111,1.13663,0.87262,0.49895,1,0.52926,0.45403,0.49401,1.10057,0.85123,0.000841835,0.000841835,0.000841835
27,906.11,0.5665,1.11075,0.87036,0.5,1,0.52948,0.4596,0.43264,1.07731,0.83831,0.000808828,0.000808828,0.000808828
28,940.256,0.56046,1.1186,0.87298,0.49941,1,0.53264,0.47139,0.44302,1.06781,0.83986,0.000775822,0.000775822,0.000775822
29,974.935,0.5487,1.10653,0.8689,0.49936,1,0.53296,0.47775,0.41621,1.06668,0.8367,0.000742815,0.000742815,0.000742815
30,1009.49,0.56715,1.10433,0.86171,0.49931,1,0.52416,0.4707,0.41126,1.06907,0.82339,0.000709809,0.000709809,0.000709809
31,1043.95,0.55993,1.12145,0.86015,0.4993,1,0.52481,0.4661,0.44937,1.06187,0.83563,0.000676802,0.000676802,0.000676802
32,1078.12,0.55552,1.11464,0.86605,0.49938,1,0.53146,0.48306,0.40167,1.05671,0.83101,0.000643795,0.000643795,0.000643795
33,1114.23,0.5394,1.10138,0.86058,0.49928,1,0.53186,0.48433,0.40042,1.0596,0.82541,0.000610789,0.000610789,0.000610789
34,1152.52,0.51801,1.08527,0.8538,0.49927,1,0.53235,0.48279,0.41635,1.0634,0.82854,0.000577782,0.000577782,0.000577782
35,1188.77,0.52022,1.08819,0.86178,0.49944,1,0.53746,0.48131,0.4039,1.06217,0.82897,0.000544776,0.000544776,0.000544776
36,1225.87,0.51304,1.07986,0.85612,0.49954,1,0.52705,0.47363,0.41523,1.03505,0.82996,0.000511769,0.000511769,0.000511769
37,1262.86,0.51537,1.08338,0.85851,0.49951,1,0.53081,0.47584,0.41451,1.0463,0.83202,0.000478762,0.000478762,0.000478762
38,1300.18,0.51333,1.08702,0.86095,0.49968,1,0.53631,0.49015,0.36871,1.03494,0.82371,0.000445756,0.000445756,0.000445756
39,1336.66,0.51952,1.09243,0.85302,0.4996,1,0.5378,0.48287,0.39513,1.03278,0.82003,0.000412749,0.000412749,0.000412749
40,1371.21,0.51246,1.07949,0.85345,0.49957,1,0.54038,0.49752,0.37019,1.02951,0.82068,0.000379743,0.000379743,0.000379743
41,1404.84,0.47401,1.13525,0.84174,0.49897,1,0.52211,0.46834,0.40398,1.07902,0.81693,0.000346736,0.000346736,0.000346736
42,1438.11,0.47968,1.12916,0.83642,0.49857,1,0.52605,0.46816,0.42274,1.10714,0.81722,0.000313729,0.000313729,0.000313729
43,1471.87,0.47355,1.12607,0.82817,0.49917,1,0.52247,0.46887,0.40221,1.08864,0.81626,0.000280723,0.000280723,0.000280723
44,1505.43,0.45223,1.09559,0.83831,0.49934,1,0.53946,0.48367,0.38011,1.04616,0.82009,0.000247716,0.000247716,0.000247716
45,1538.77,0.44498,1.08583,0.83708,0.49939,1,0.53539,0.47922,0.37616,1.03484,0.81699,0.00021471,0.00021471,0.00021471
46,1571.75,0.42019,1.07416,0.83937,0.49934,1,0.53569,0.49719,0.35489,1.03713,0.81588,0.000181703,0.000181703,0.000181703
47,1605.22,0.42703,1.0807,0.83819,0.49928,1,0.52698,0.48688,0.36852,1.03734,0.8158,0.000148696,0.000148696,0.000148696
48,1638.63,0.40928,1.05778,0.83349,0.49931,1,0.52515,0.4874,0.37026,1.03635,0.81536,0.00011569,0.00011569,0.00011569
49,1671.85,0.41942,1.06447,0.8372,0.4994,1,0.53207,0.4977,0.3475,1.03241,0.81247,8.26832e-05,8.26832e-05,8.26832e-05
50,1705.15,0.39636,1.06695,0.83377,0.49941,1,0.52854,0.49515,0.33637,1.02902,0.81142,4.96766e-05,4.96766e-05,4.96766e-05
